Test, Start_Pos, Nodes_Traversed, Time Elapsed
148, [11,17], 405, 19.09118859998989
149, [12,17], 418, 20.02499919998263
150, [13,17], 417, 21.11500029998888
151, [14,17], 416, 20.077068399999916
152, [15,17], 415, 19.954431600006956
153, [16,17], 414, 20.08008650001193
154, [17,17], 396, 18.817479999987427
155, [18,17], 395, 18.782267199995204
156, [21,17], 380, 18.50475499999402
157, [6,18], 393, 18.674543599984645
158, [9,18], 394, 18.792511900001955
159, [18,18], 411, 19.76831129998709
160, [21,18], 379, 18.31904819998954
161, [6,19], 392, 18.826619999998
162, [9,19], 393, 18.7602184999987
163, [18,19], 410, 19.801650300002166
164, [21,19], 378, 17.976768600005926
165, [1,20], 398, 19.153706000007332
166, [2,20], 397, 18.993589099999554
167, [3,20], 396, 18.947169300003225
168, [4,20], 395, 18.87677230000554
169, [5,20], 394, 18.995746100023098
170, [6,20], 393, 18.592748400000346
171, [7,20], 390, 18.763478900008522
172, [8,20], 391, 18.74532790000103
173, [9,20], 394, 18.965015800019046
174, [10,20], 391, 18.771245500004625
175, [11,20], 392, 18.950176399995144
176, [12,20], 389, 19.67039749999094
177, [15,20], 395, 19.203745499994056
178, [16,20], 413, 20.023767900000166
179, [17,20], 412, 20.191031100001965
180, [18,20], 411, 20.0787357000022
181, [19,20], 386, 18.48685339998974
182, [20,20], 387, 18.634336200000234
183, [21,20], 379, 18.322970400001395
184, [22,20], 411, 20.15472419999014
185, [23,20], 381, 18.178592299995216
186, [24,20], 382, 18.36269680000123
187, [25,20], 383, 18.227782099996602
188, [26,20], 384, 18.40236999999115
189, [1,21], 399, 19.433229799977198
190, [6,21], 394, 18.863513600013903
191, [12,21], 396, 18.934235899986106
192, [15,21], 394, 19.058178199996746
193, [21,21], 378, 18.037416300002405
194, [26,21], 377, 17.982542800011288
195, [1,22], 398, 18.97403610001038
196, [6,22], 395, 19.124569899999187
197, [12,22], 395, 18.790842900004918
198, [15,22], 393, 19.759432700011075
199, [21,22], 377, 18.5176226000076
200, [26,22], 376, 18.26512739999498
201, [1,23], 397, 18.87142169999879
202, [2,23], 398, 19.532314699988547
203, [3,23], 397, 19.240692799997305
204, [6,23], 396, 19.339211000009982
205, [7,23], 397, 18.935040300005767
206, [8,23], 398, 18.846721099991555
207, [9,23], 407, 19.295250799995756
208, [10,23], 406, 19.335443099997974
209, [11,23], 407, 19.600960200010377
210, [12,23], 396, 18.98666959999855
211, [13,23], 385, 18.21269180000354
212, [14,23], 386, 18.27061510000749
213, [15,23], 394, 18.65635490000477
214, [16,23], 392, 18.57439270000623
215, [17,23], 391, 18.678581000006943
216, [18,23], 390, 19.07283810000399
217, [19,23], 389, 18.448293299989473
218, [20,23], 390, 18.452527699991606
219, [21,23], 378, 18.40534720000096
220, [24,23], 373, 17.715431900015574
221, [25,23], 374, 17.773334200024692
222, [26,23], 375, 18.282327800011444
223, [3,24], 394, 19.021134099993105
224, [6,24], 397, 18.94302519998655
225, [9,24], 408, 19.752695399993172
226, [18,24], 391, 20.26787170001262
227, [21,24], 379, 19.21063549999417
228, [24,24], 372, 19.623267899989514
229, [3,25], 393, 20.903481700004704
230, [6,25], 398, 21.04014939998615
231, [9,25], 401, 19.823609700006273
232, [18,25], 392, 19.261256700019658
233, [21,25], 393, 19.421209899999667
