Test, Start_Pos, Nodes_Traversed, Time Elapsed
185, [23,20], 552, 27.886003600006006
186, [24,20], 553, 27.7819521999445
187, [25,20], 554, 27.659248699972522
188, [26,20], 555, 28.084472499986077
189, [1,21], 605, 29.787821199948667
190, [6,21], 454, 22.540649000085978
191, [12,21], 519, 25.861410100022113
192, [15,21], 613, 31.248478300001807
193, [21,21], 708, 35.856629699967016
194, [26,21], 791, 39.66496259995256
195, [1,22], 606, 30.002176700019845
196, [6,22], 453, 22.14990219999345
197, [12,22], 518, 25.77867299996251
198, [15,22], 612, 30.635129899990716
199, [21,22], 707, 35.35342740006672
200, [26,22], 790, 39.29038140002194
201, [1,23], 607, 29.915194099985456
202, [2,23], 596, 29.11245119994419
203, [3,23], 609, 31.643223600034617
204, [6,23], 596, 29.787771300034365
205, [7,23], 557, 28.846040299997185
206, [8,23], 558, 29.506921600028363
207, [9,23], 588, 29.59718140000041
208, [10,23], 587, 31.21168399992348
209, [11,23], 588, 30.714063099983832
210, [12,23], 562, 30.160456200019325
211, [13,23], 707, 35.22627790000297
212, [14,23], 708, 35.90486539997437
213, [15,23], 709, 36.680883399996674
214, [16,23], 745, 37.82578470005683
215, [17,23], 812, 42.21407519999411
216, [18,23], 813, 42.34120669998629
217, [19,23], 551, 27.465911800018148
218, [20,23], 552, 27.73227110001062
219, [21,23], 553, 29.240386899924488
220, [24,23], 787, 41.464401899931545
221, [25,23], 788, 40.336085499955516
222, [26,23], 789, 39.7284139999756
223, [3,24], 610, 30.020778399994015
224, [6,24], 595, 29.93877089993657
225, [9,24], 589, 29.66837600006511
226, [18,24], 812, 40.82940679999956
227, [21,24], 612, 30.60482689994751
228, [24,24], 786, 39.177270399997724
229, [3,25], 611, 29.886704799973813
230, [6,25], 594, 29.18671559994982
231, [9,25], 589, 29.36624460001258
232, [18,25], 811, 40.32154780002202
233, [21,25], 611, 30.24753790003888
234, [24,25], 785, 39.72852780003086
235, [1,26], 502, 25.040240599983008
236, [2,26], 501, 24.618265400087694
237, [3,26], 500, 24.455556699995213
238, [4,26], 591, 28.935432900023443
239, [5,26], 592, 28.74282530007622
240, [6,26], 593, 29.411547100035023
241, [9,26], 528, 25.89503180004067
242, [10,26], 944, 46.86195370002861
243, [11,26], 919, 45.37897430002886
244, [12,26], 920, 58.42114309989665
245, [15,26], 807, 39.80323189998853
246, [16,26], 808, 40.227306000064345
247, [17,26], 809, 40.47454799999832
248, [18,26], 810, 41.36920660000396
249, [21,26], 622, 31.329110700073215
250, [22,26], 788, 39.510962099957396
251, [23,26], 733, 36.43120990004354
252, [24,26], 734, 36.75211710001349
253, [25,26], 797, 39.28359319995252
254, [26,26], 798, 39.807122900010654
255, [1,27], 503, 24.601747899861948
256, [12,27], 500, 24.455846199973166
257, [15,27], 806, 40.14573740003107
258, [26,27], 729, 36.24158600008377
259, [1,28], 504, 24.587231800016525
260, [12,28], 499, 24.35573249997651
261, [15,28], 805, 39.62651120002556
262, [26,28], 728, 35.99609540003621
263, [1,29], 505, 24.815958700004558
264, [2,29], 510, 24.96194389999073
265, [3,29], 523, 25.680852299994513
266, [4,29], 524, 25.653583600033016
267, [5,29], 525, 25.691716799961796
268, [6,29], 526, 25.909062400027324
269, [7,29], 527, 26.1614485000282
270, [8,29], 528, 27.20342650002749
271, [9,29], 529, 27.056257299964273
272, [10,29], 530, 26.667873400001554
273, [11,29], 531, 26.663311900001645
274, [12,29], 500, 25.913458000050014
275, [14,29], 807, 41.09187509991898
276, [15,29], 806, 41.49397600010161
277, [16,29], 785, 39.8425475000131
278, [17,29], 786, 39.57690460006597
279, [18,29], 787, 39.58945639990816
280, [19,29], 788, 39.789306399949055
281, [20,29], 789, 40.245377500004906
282, [21,29], 790, 40.12801229996148
283, [22,29], 791, 40.10762379996413
284, [23,29], 792, 39.91410300000098
285, [24,29], 725, 36.96556769999006
286, [25,29], 726, 36.13922060002551
287, [26,29], 727, 38.276937200023895
288, [13,29], 808, 42.38323680007488
